Stock,Success,NLL,Alpha1,Loc1,Scale1,Alpha2,Loc2,Scale2,Weight
stock 1,True,2300.636605322451,1.999983224963304,0.1388935930581978,1.0694181033756787,1.954022928019012,-0.0069427852204306095,2.482049657845682,0.608924664934564
stock 2,True,2014.2462090546323,1.608405173399025,0.0767429986071427,0.5203961466233226,1.8960758453433482,0.06397110498025997,1.502756080268714,0.3758551012010182
stock 3,True,2041.0722755363881,1.9998944808834067,0.008564452001905974,0.9267997197658838,1.8643084029046888,0.150732024477653,2.55073699818449,0.8006331162269441
stock 4,True,2040.529965778758,1.8303540634185933,-0.0004708877467623795,0.5603066367524544,1.789995973821465,0.15674375375300273,1.3419927052564924,0.23415634370435778
stock 5,False,1796.1476667610145,1.6885457685125533,-0.07393476989302612,0.6255804030251658,1.9998668779279656,0.25732000370455044,1.307674020160378,0.5759350651676022
stock 6,True,1976.1111255542182,1.999990917916435,-0.031395054925919326,0.8060931879389618,1.8176573154524656,0.18948974613582964,1.7431624251193123,0.6423103003394328
stock 7,True,2019.6137263104229,1.7756995774190731,0.11077368156430566,0.7794831821715004,1.9999941557394278,0.30526124546900923,2.0588794235797576,0.6973167320386776
stock 8,True,1858.484603676945,1.9121207993048297,0.06657801135544753,0.7230848958499575,1.9999950276327594,0.03465984776659169,1.821511042254355,0.7152772504309025
stock 9,True,2196.912108419402,1.917998000591985,0.24870067412706132,0.9617418325288211,1.8607298692891407,-0.13402446263855616,1.9311000404798861,0.5421083780220833
stock 10,True,1626.7131749378163,1.875537129938917,0.02331202104238314,0.46968965962926235,1.9346613498354113,0.14129448897401042,1.1527043370748824,0.511683339882209
stock 11,True,2108.8214492364405,1.8380372202475057,0.08741996675385641,0.49247617609967165,1.8575866546575641,-0.012927577061937007,1.598984088162065,0.3032486481610185
stock 12,True,1675.0766429812652,1.8848900558443176,0.07829896823462874,0.5483102016391591,1.8315365773050905,-0.037587188800448,1.3198261483475242,0.6396669879112471
stock 13,True,1770.9362705519757,1.842802235259723,0.06665583232880239,0.7133762564148893,1.9999906555488969,0.3087588554221312,1.7053632123819396,0.7891242886306895
stock 14,True,1713.4310727009395,1.856464141905324,0.09006981337541353,0.7063792068329854,1.999997541304175,-0.23885720645520084,1.8042578529952606,0.845139771732634
stock 15,True,1831.3416549628387,1.9459827796336195,-0.08335651423785594,0.6291180671062185,1.7672198482374268,0.2220025792570451,1.2187637820708288,0.45621488679209277
stock 16,True,2041.829033006296,1.9999976849229033,-0.027101632635817132,0.5967526239804696,1.825589122780102,0.13668961564190324,1.4463114440810925,0.3073936927573604
stock 17,True,2014.4855443595561,1.6803541850620733,-0.0837092523939473,0.4538727850738378,1.7807571749444835,0.08986918392933095,1.3320798020876963,0.25297294089821776
stock 18,True,1893.6047496247072,1.9999992095423023,0.07052445190951592,0.6011650275827303,1.8322682853888472,0.10670061581255431,1.266898664145369,0.35244408475960753
stock 19,True,1633.8898222316543,1.9092695704080396,0.008584931779742599,0.5618630949671837,1.9688093478717348,0.15473093440041033,1.3278588962990776,0.6617390783232738
stock 20,True,1848.652521136532,1.6641735371738013,0.06677993720908479,0.6405770100144423,1.973473967594649,-0.09165989739971124,1.3833321378587433,0.5669458808741233
stock 21,True,1800.6195866100102,1.5556508971464194,0.03715119697742695,0.6126339429019362,1.9999905239962792,-0.06325456406365823,1.4314043255337832,0.6896114948225357
stock 22,True,1739.9679360263085,1.9114449620937621,0.1036402233690545,0.5116707174210919,1.8506135509336912,0.006501848353699125,1.260021382851876,0.4995963723346273
stock 23,True,1953.985854304908,1.8832677411208232,-0.035805027978949105,0.8311431098648346,1.8649251378182528,0.33823465016528304,1.8983835703652878,0.7436443893635369
stock 24,True,1858.4254758935022,1.928057791166758,0.025143842854114768,0.710280017788138,1.9999975297964148,0.3789531112979368,1.9607845848160264,0.7360075805477424
stock 25,True,1786.0678875961048,1.9926629990678002,0.07965387610073504,0.7412717887035136,1.8340736557399178,-0.06823459652757796,1.4202137609563106,0.6855712174855388
